sequence,frame,anchor,method,relative_l1,absolute_l1,token_relative_p95
2,6,4,damped_extrapolate,0.16341968559411776,0.1413118690252304,0.2662368327379227
2,6,4,causal_bounded_fit,0.1570677012174279,0.1358191967010498,0.2504712790250779
2,6,4,two_anchor_mean,0.1422234076966667,0.12298307567834854,0.2356648594141008
2,7,4,r3_gain_hold,0.16108203117601902,0.13890495896339417,0.27698020040988924
2,7,4,linear_extrapolate,0.23112942116352334,0.19930852949619293,0.40308815240859985
2,7,4,damped_extrapolate,0.1721996803572611,0.1484919786453247,0.301233172416687
2,7,4,causal_bounded_fit,0.16108203117601902,0.13890495896339417,0.27698020040988924
2,7,4,two_anchor_mean,0.14763829055140654,0.1273120939731598,0.2681189984083176
2,9,8,r3_gain_hold,0.15342026750700222,0.1322210729122162,0.26367588937282566
2,9,8,linear_extrapolate,0.1721052223164197,0.14832419157028198,0.3179168075323105
2,9,8,damped_extrapolate,0.1559609020992205,0.13441064953804016,0.2746619135141373
2,9,8,causal_bounded_fit,0.1526061716914312,0.13151946663856506,0.2604294121265412
2,9,8,two_anchor_mean,0.13815127665245683,0.1190619096159935,0.2316493794322016
2,10,8,r3_gain_hold,0.14622494469588634,0.12598587572574615,0.23588193804025653
2,10,8,linear_extrapolate,0.19149311802161081,0.1649884581565857,0.31806600987911227
2,10,8,damped_extrapolate,0.15280647493098098,0.1316564530134201,0.24713513404130935
2,10,8,causal_bounded_fit,0.14446846792126197,0.12447251379489899,0.2316347822546959
2,10,8,two_anchor_mean,0.13387214474807563,0.11534283310174942,0.21762889176607136
2,11,8,r3_gain_hold,0.1554458830975361,0.1336568146944046,0.26557734012603773
2,11,8,linear_extrapolate,0.23112800708188885,0.19873046875,0.42100165486335756
2,11,8,damped_extrapolate,0.16768539873404997,0.14418070018291473,0.2902521848678589
2,11,8,causal_bounded_fit,0.1523594107114262,0.1310029774904251,0.26145717799663554
2,11,8,two_anchor_mean,0.13943485958574833,0.11989007890224457,0.23313848078250887
3,1,0,r3_gain_hold,0.0,0.0,0.0
3,1,0,linear_extrapolate,0.0,0.0,0.0
3,1,0,damped_extrapolate,0.0,0.0,0.0
3,1,0,causal_bounded_fit,0.0,0.0,0.0
3,1,0,two_anchor_mean,0.0,0.0,0.0
3,2,0,r3_gain_hold,0.0,0.0,0.0
3,2,0,linear_extrapolate,0.0,0.0,0.0
3,2,0,damped_extrapolate,0.0,0.0,0.0
3,2,0,causal_bounded_fit,0.0,0.0,0.0
3,2,0,two_anchor_mean,0.0,0.0,0.0
3,3,0,r3_gain_hold,0.0,0.0,0.0
3,3,0,linear_extrapolate,0.0,0.0,0.0
3,3,0,damped_extrapolate,0.0,0.0,0.0
3,3,0,causal_bounded_fit,0.0,0.0,0.0
3,3,0,two_anchor_mean,0.0,0.0,0.0
3,5,4,r3_gain_hold,0.0,0.0,0.0
3,5,4,linear_extrapolate,0.0,0.0,0.0
3,5,4,damped_extrapolate,0.0,0.0,0.0
3,5,4,causal_bounded_fit,0.0,0.0,0.0
3,5,4,two_anchor_mean,0.0,0.0,0.0
3,6,4,r3_gain_hold,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,6,4,linear_extrapolate,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,6,4,damped_extrapolate,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,6,4,causal_bounded_fit,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,6,4,two_anchor_mean,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,7,4,r3_gain_hold,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,7,4,linear_extrapolate,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,7,4,damped_extrapolate,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,7,4,causal_bounded_fit,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,7,4,two_anchor_mean,0.7764724980157591,0.6725611090660095,1.2725162863731385
3,9,8,r3_gain_hold,0.0,0.0,0.0
3,9,8,linear_extrapolate,0.0,0.0,0.0
3,9,8,damped_extrapolate,0.0,0.0,0.0
3,9,8,causal_bounded_fit,0.0,0.0,0.0
3,9,8,two_anchor_mean,0.0,0.0,0.0
3,10,8,r3_gain_hold,0.0,0.0,0.0
3,10,8,linear_extrapolate,0.0,0.0,0.0
3,10,8,damped_extrapolate,0.0,0.0,0.0
3,10,8,causal_bounded_fit,0.0,0.0,0.0
3,10,8,two_anchor_mean,0.0,0.0,0.0
3,11,8,r3_gain_hold,0.0,0.0,0.0
3,11,8,linear_extrapolate,0.0,0.0,0.0
3,11,8,damped_extrapolate,0.0,0.0,0.0
3,11,8,causal_bounded_fit,0.0,0.0,0.0
3,11,8,two_anchor_mean,0.0,0.0,0.0
4,1,0,r3_gain_hold,0.0,0.0,0.0
4,1,0,linear_extrapolate,0.0,0.0,0.0
4,1,0,damped_extrapolate,0.0,0.0,0.0
4,1,0,causal_bounded_fit,0.0,0.0,0.0
4,1,0,two_anchor_mean,0.0,0.0,0.0
4,2,0,r3_gain_hold,0.0,0.0,0.0
4,2,0,linear_extrapolate,0.0,0.0,0.0
4,2,0,damped_extrapolate,0.0,0.0,0.0
4,2,0,causal_bounded_fit,0.0,0.0,0.0
4,2,0,two_anchor_mean,0.0,0.0,0.0
4,3,0,r3_gain_hold,0.0,0.0,0.0
4,3,0,linear_extrapolate,0.0,0.0,0.0
4,3,0,damped_extrapolate,0.0,0.0,0.0
4,3,0,causal_bounded_fit,0.0,0.0,0.0
4,3,0,two_anchor_mean,0.0,0.0,0.0
4,5,4,r3_gain_hold,0.0,0.0,0.0
4,5,4,linear_extrapolate,0.0,0.0,0.0
4,5,4,damped_extrapolate,0.0,0.0,0.0
4,5,4,causal_bounded_fit,0.0,0.0,0.0
4,5,4,two_anchor_mean,0.0,0.0,0.0
4,6,4,r3_gain_hold,0.4538993849865679,0.39208829402923584,1.070439410209656
4,6,4,linear_extrapolate,0.4538993849865679,0.39208829402923584,1.070439410209656
4,6,4,damped_extrapolate,0.4538993849865679,0.39208829402923584,1.070439410209656
4,6,4,causal_bounded_fit,0.4538993849865679,0.39208829402923584,1.070439410209656
4,6,4,two_anchor_mean,0.4538993849865679,0.39208829402923584,1.070439410209656
4,7,4,r3_gain_hold,0.4538993849865679,0.39208829402923584,1.070439410209656
